town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Caswell,243,43173,21442.0,33.7,85000,63.06306306306306,59.56284153005464,8.256880733944955,92.18106995884774,31.68724279835391,8.860759493670885,33.87096774193549,1
Chapman,388,93125,46491.0,45.7,185700,94.47852760736197,68.96551724137932,1.0,98.96907216494846,6.443298969072164,22.82608695652174,35.84905660377359,1
Charleston,1117,75250,33566.0,45.4,226500,92.09932279909707,66.06765327695561,1.6,93.55416293643688,6.364513018322084,12.07897793263647,53.410553410553405,1
Charlotte,377,67813,34829.0,48.6,140800,98.17073170731707,55.70469798657718,6.626506024096386,94.16445623342176,22.811671087533156,28.776978417266186,31.555555555555564,1
Chebeague Island,555,67639,54167.0,60.4,651400,70.56603773584905,47.60914760914761,1.3100436681222707,91.17117117117117,12.5,57.48792270531401,-65.47231270358307,0
Chelsea,2823,85471,35100.0,42.2,182300,88.61867704280155,57.39592559787422,2.7777777777777777,95.14700673042861,8.694043655197929,20.388833499501498,26.19502868068833,1
Cherryfield,809,37115,31639.0,58.1,195800,66.82692307692307,43.013698630136986,6.369426751592357,87.88627935723115,26.328800988875155,21.364985163204746,30.354391371340533,1
Chester,598,64500,27711.0,44.0,172500,77.06422018348624,53.473684210526315,2.3622047244094486,97.32441471571906,9.03010033444816,15.419501133786847,63.10679611650485,1
Chesterville,1397,61635,28193.0,37.8,214000,86.36363636363636,64.28571428571429,2.857142857142857,96.4924838940587,12.025769506084465,20.37444933920705,26.366950182260027,1
China,4526,96309,45079.0,40.9,240000,91.76781002638522,64.40217391304348,2.067510548523207,94.38798055678303,5.991598496573071,31.932282545242263,17.16855690262026,1
Clifton,1111,70313,33139.0,52.7,202500,87.47203579418344,56.48936170212766,0.18832391713747645,94.23942394239424,9.18091809180918,26.057906458797326,23.917137476459516,1
Clinton,3385,71458,38369.0,50.7,187000,95.05021520803444,64.74380726162198,2.7253668763102725,98.58197932053176,2.570162481536189,17.913920124079098,31.88073394495413,1
Columbia,529,56667,28236.0,41.9,158700,81.81818181818183,56.19047619047619,0.0,85.25519848771268,13.42155009451796,21.1864406779661,42.61603375527426,1
